|borough|0-4|10-14|15-19|20-24|25-29|30-34|35-39|40-44|45-49|50-54|55-59|5-9|60-64|65-69|70-74|75-79|80-84|85-89|90+|
|İstanbul(Adalar)-1103|576.0|530.0|1020.0|982.0|916.0|1010.0|1082.0|1094.0|1103.0|1067.0|1126.0|596.0|1207.0|939.0|785.0|543.0|346.0|221.0|95.0|
|İstanbul(Arnavutköy)-2048|29713.0|25884.0|23049.0|23417.0|25716.0|25575.0|24947.0|19204.0|16207.0|11825.0|10396.0|27618.0|7369.0|4775.0|3033.0|1856.0|1045.0|639.0|220.0|
|İstanbul(Ataşehir)-2049|26801.0|28195.0|28641.0|32323.0|33825.0|36355.0|39772.0|37840.0|34329.0|27028.0|22359.0|28411.0|17070.0|12254.0|8799.0|5259.0|3045.0|1962.0|826.0|
|İstanbul(Avcılar)-2003|32621.0|31361.0|30865.0|35125.0|38007.0|40610.0|42449.0|37441.0|32593.0|25539.0|22783.0|33354.0|17099.0|12025.0|8032.0|4486.0|2602.0|1398.0|492.0|
|İstanbul(Bağcılar)-2004|61874.0|62806.0|61551.0|62757.0|62771.0|64391.0|67838.0|59324.0|54305.0|38932.0|31483.0|62602.0|21130.0|14026.0|9193.0|5191.0|2751.0|1582.0|618.0|
|İstanbul(Bahçelievler)-2005|42259.0|40531.0|41520.0|49041.0|55569.0|55262.0|55836.0|50065.0|45943.0|36459.0|31287.0|41570.0|23633.0|16418.0|11346.0|6928.0|4114.0|2389.0|889.0|
|İstanbul(Bakırköy)-1166|10333.0|13058.0|11677.0|13932.0|15140.0|17482.0|20429.0|19745.0|17955.0|15690.0|14896.0|12431.0|13256.0|10782.0|8660.0|5851.0|4081.0|2610.0|1231.0|
|İstanbul(Başakşehir)-2050|41001.0|42965.0|39317.0|35632.0|35928.0|38787.0|42375.0|38806.0|32668.0|23044.0|17359.0|44084.0|11413.0|7134.0|4618.0|2573.0|1442.0|779.0|334.0|
|İstanbul(Bayrampaşa)-1886|17410.0|18744.0|18644.0|20860.0|22209.0|22798.0|24634.0|23604.0|21302.0|17940.0|15218.0|18148.0|11713.0|8410.0|5572.0|3595.0|2243.0|1279.0|412.0|
|İstanbul(Beşiktaş)-1183|7271.0|8135.0|8846.0|12563.0|13773.0|15629.0|17108.0|16255.0|14366.0|12193.0|10914.0|7651.0|9862.0|7996.0|6882.0|5321.0|3860.0|2586.0|1438.0|
|İstanbul(Beykoz)-1185|14931.0|15913.0|17797.0|20027.0|18432.0|19083.0|21198.0|20169.0|19559.0|16492.0|15241.0|15330.0|11997.0|8333.0|5564.0|3751.0|2363.0|1509.0|571.0|
|İstanbul(Beylikdüzü)-2051|26555.0|26790.0|23637.0|22759.0|25772.0|30598.0|34188.0|31854.0|26754.0|20531.0|17428.0|27941.0|13539.0|9724.0|6770.0|3687.0|2224.0|1183.0|478.0|
|İstanbul(Beyoğlu)-1186|14181.0|14087.0|15925.0|19192.0|20842.0|21014.0|21184.0|19053.0|17896.0|15289.0|13058.0|14086.0|9898.0|6507.0|4517.0|2962.0|1880.0|1260.0|492.0|
|İstanbul(Büyükçekmece)-1782|17666.0|18663.0|17659.0|17976.0|18129.0|20281.0|22779.0|21667.0|19314.0|15723.0|13783.0|18535.0|10858.0|8203.0|5713.0|3578.0|1963.0|1171.0|442.0|
|İstanbul(Çatalca)-1237|4260.0|4479.0|4503.0|4846.0|5317.0|5589.0|6025.0|5628.0|5363.0|5188.0|4995.0|4378.0|4385.0|3226.0|2379.0|1415.0|1010.0|508.0|224.0|
|İstanbul(Çekmeköy)-2052|22384.0|20570.0|18499.0|20615.0|22099.0|24589.0|26510.0|23093.0|19149.0|13915.0|11273.0|21779.0|7784.0|4993.0|3333.0|1987.0|1053.0|650.0|233.0|
|İstanbul(Esenler)-2016|36214.0|36336.0|37470.0|40231.0|40172.0|39014.0|39369.0|35403.0|32849.0|24542.0|19543.0|36055.0|12890.0|8449.0|5425.0|3205.0|1831.0|1010.0|336.0|
|İstanbul(Esenyurt)-2053|94640.0|77520.0|70420.0|78417.0|93952.0|98952.0|94093.0|72323.0|59392.0|41037.0|33190.0|87245.0|22091.0|13916.0|8479.0|4551.0|2437.0|1407.0|517.0|
|İstanbul(Eyüpsultan)-1325|28715.0|27219.0|27139.0|30194.0|33095.0|35637.0|37794.0|34394.0|31399.0|24570.0|20629.0|27689.0|15381.0|10676.0|7101.0|4225.0|2554.0|1518.0|584.0|
|İstanbul(Fatih)-1327|23321.0|24609.0|28782.0|40051.0|40156.0|38203.0|38262.0|35392.0|32586.0|27878.0|24577.0|24152.0|20414.0|15363.0|11519.0|7827.0|5290.0|3313.0|1395.0|
|İstanbul(Gaziosmanpaşa)-1336|37403.0|36943.0|36999.0|38372.0|39698.0|41281.0|44026.0|40119.0|36474.0|28886.0|24954.0|36917.0|18571.0|12892.0|8235.0|4930.0|2897.0|1737.0|628.0|
|İstanbul(Güngören)-2010|19610.0|18633.0|20547.0|24968.0|24164.0|24065.0|24990.0|22772.0|21636.0|17975.0|16054.0|19384.0|12164.0|8554.0|6099.0|3725.0|2283.0|1331.0|487.0|
